"Date","Rev"
"on February 12, 2016","I would like to see a music queue; a function to &#34;listen next,&#34; or to add to the queue. I otherwise like the interface of this app."
"on July 25, 2017","I like it so far..I like how u don't have to b online to listen to ur music."
"on September 22, 2015","this is a great app for music you just have to make sure that the artist is with them. one thing for them to work on though is for users to able to pick a song and play it whenever."
"on July 31, 2016","Love it! but wish you could download the Playlist and listen to it offline without having to pay for premium"
"on October 23, 2017","Great selection of musical genres."
"on May 30, 2017","No Wi-Fi needed for tons of music!"
"on September 22, 2015","Spotifys New update is not good at all. You can't play the song you want when you want you have certain amount of skips. It is starting to get like Pandora which is not good at all."
"on August 18, 2017","Love it"
"on January 4, 2015","5 Star because it's awesome, I can customize my playlists. Make new ones. I can add entire albums to a playlist then if a song comes on I dont like I can take it off of my list. True Customization is awesome and great selection of music!"
"on November 7, 2016","Spotify is good for listening to music and creating your own selection of music!!!!!!!"
"on June 17, 2016","I need a ton of music for variety and inspiration in my yoga class and Spotify gives me access to all the music I need!"
"on May 5, 2016","Its a go-to app for music. Radio stations can be selected or designed. You can look up a specific song. Who doesn't love Spotify!"
"on July 30, 2016","Finnaly a music app to use in a car where there's no internet and I get to listen to my fav idol Selena Gomez"
"on January 27, 2015","A friend suggested this app to me a few days ago and I haven't been off of it since! It's perfect if your a music lover. I've found every song/album I searched for and some I never expected to find! Awesome app. Can't say it enough."
"on January 7, 2016","Not a bad app. Haven't experienced any problems so far, and there's plenty of good music offline, without having to pay for the app if you're cheap like me."
"on August 29, 2014","I live for this app i love it so much it is a great app you should buy it if you love music"
"on October 6, 2016","Be better if malware wasn't being slipped into the ads, other than that I have no complaints."
"on May 13, 2017","Best music app ever!"
"on July 18, 2017","Get the latest music"
"on June 16, 2016","I love this app!! It is a great way to listen to music. Follow me!! Username- mmorin-us.... And I will follow you!"
"on November 28, 2015","My only complaint is that sometimes my music will cut off when I use certain other apps. But that might just be my device, my other family members have a no trouble."
"on February 22, 2016","Well worth the money for premium. Sometimes a little buggy but overall pretty easy to use. Still some glaring omissions in the catalogue though."
"on December 2, 2015","I pay for Spotify Premium, so having access to so many songs AND being able to listen to my playlists offline through my phone and my kindle fire is just wonderful."
"on September 26, 2016","Only complaint is it takes forever downloading my sins which it says it always has to down load"
"on January 26, 2016","This is the most amazing app I've ever used. It gives me new playlists and show me new artists I'd like. Easy to use and so so necessary during my day!"
"on May 29, 2017","It is good for listening to your favorite songs"
"on September 4, 2016","It allows you to create your own playlists make then public or private and listen to specific songs!"
"on August 9, 2016","Works great. You can also use it as a wifi remote for other spotify connected devices on the same network."
"on August 26, 2016","You should definetly get this app I recommend this it has old songs and new songs love it😘💜💖☺😊😀😁"
"on August 27, 2015","This app kids great. It doesn't install stuff on its own. I haven't experienced any ads. Of course I need Wi-Fi, which is a given. Definitely an upgrade from Pandora and iHeart Radio. :)"
"on January 11, 2017","I'm a huge music person, always listening to music and perfect for any mood"
"on February 9, 2017","I like what this App, Has to Do, See, & Play good Music & Who can use it!!!"
"on February 22, 2015","Whats more to say, Spotify is the greatest for finding new music to listen to. I find stuff on my desktop, purchase what I like or make playlists for my Fire tablet. I find stuff I can't find on Amazon, then will order the CD."
"on August 17, 2014","I would most definitely recommend this app it is amazing. It is even better than any other music app. You don't have to wait for it to load, the song just comes right on. WOW I am just so speech less I am laughing. HAHAHAHAHAHAHAHAHAHAHAHHAHAHAHAHAHAHHAHAHAHAHAHAHAH"
"on October 27, 2014","Great"
"on July 22, 2017","An Amazing App always download it"
"on September 12, 2016","The browse and search features help me find music other than what I was specifically looking for."
"on November 26, 2015","Sporting is really good! However, it recently got an update where you need premium to choose a song on mobile. That, in my opinion, is stupid. They NEED to fix that."
"on August 26, 2014","The only reason I don't give this app 5 stars is because I can't actually PICK a song on my playlist, I have to just let it go on shuffle. And, obviously, the ads.... but really, it is a great app,I love using it when I'm doing work and such... strongly recommend."
"on November 7, 2016","I really like it. The music isn't fair or watev.....yay...ice cream and peanut butter"
"on September 30, 2017","🖒🖒🖒"
"on August 17, 2015","LOVE Love love Spotify...couldn't imagine my day without it. I have hundreds of playlists for just about anything life throws at you... :) https://open.spotify.com/user/yellowstar2000"
"on March 28, 2016","You can pick your own music and there are not many adds. But you have to download or get the premium version to listen to music offline."
"on April 17, 2017","awsome FREE music!!"
"on July 18, 2017","Better than Pandora"
"on March 4, 2017","Extremely well done"
"on July 18, 2017","The BEST music app."
"on March 10, 2016","It has great themes and all artist I have wanted to listen to. Not a fan of so many adds but for free I guess you have to put up with that?"
"on January 22, 2016","Spotify app is free in my fire kindle. It let me listen my playlists and favorite artist. The only drawback is that ads are added every thirty minutes."
"on September 17, 2017","Love the music and has a strong pull for WIFI."
"on October 1, 2017","I love, listening to complete albums of music"
"on April 9, 2017","For some reason if I close it it logs me out😢"
"on June 17, 2017","I honestly like it but I recommend getting to listen offline"
"on December 26, 2014","This is an excellent app for people who enjoy music and want to share it on their electronic devices. All of the platforms I have used the app on, including Smart TV, Lap Top, Phone, and Kindle have worked accordingly to the description."
"on June 27, 2016","This is the best when I am working out. It keeps playing the songs that I love! I would recommend this to everyone!"
"on September 9, 2015","Love everything but the data usage even when in offline mode. Comes with the territory of peer to peer sharing. Haven't found a song I wanted that they didn't have. Totally worth it."
"on December 2, 2014","I love this it has the abcs WITH NUMBERS you need this app it has all the troo troo train music you can get but it did disappoint me when I writ down a song and yelled out that it's real IT DID NOT HAVE IT! But all in all its so rad and funk"
"on October 13, 2017","This app is great the family pack for the premium is so helpfull I love it"
"on January 17, 2017","Love being able to make and download playlists for roadtrips with premium!"
"on January 23, 2017","This is the best music app out there, love it listen to it everyday !!!!!!"
"on December 16, 2014","I think it's way better than Pandora. I've used Pandora for years but it always plays the same songs over and over. I really like how you can search for any song and play that song or any artist when you want. No guessing what song is next"
"on April 13, 2017","If you love music, get this app."
"on February 15, 2016","This is the best app I've ever used thank you   Dedicated to:The company that made  this app😂😀😁😀😁😂👏👏👏👏👏😳😳😳💜💝💖💖"
"on September 2, 2016","I was a Pandora radio listener until I found this radio station or site haven't used Pandora since."
"on April 30, 2016","I really like it. But having to go through a whole album just to get the one song you want is the worst. That is only bad thing."
"on November 2, 2017","Love it, its great"
"on May 16, 2017","Good to listen to."
"on June 30, 2017","Perfect Always!!!!"
"on March 23, 2016","It's free music and you can follow people and friends and listen to music and if you play a different app it still plays. Has all music!"
"on January 1, 2016","Well, I have a tablet with lets me pick and play with no premium and when I try to update it on my kindle, it won't let me pick and play. PLEASE FIX THIS!!"
"on August 15, 2016","This is way better than other mysic apps i ever used. You can actually make your own playlist for free!"
"on April 7, 2016","This app is the love of my life. I can listen to any music I want as long as I have connection which I always do #reppinat&t 😊😊"
"on May 20, 2016","It is easy to look up songs and add them to your own playlist. Spotify continues to play on my tablet so I can fall asleep."
"on May 23, 2017","Spotify... why? 🎤 Because I Love iT!! 🌠🌠🌠🌠🌠"
"on May 4, 2017","I'm a music freak, I can listen to all my favorite hits...."
"on July 31, 2017","Listening while cleaning. Just what I needed."
"on May 30, 2017","It's Great. Like having your own music store."
"on August 17, 2016","Lots of choices out there for music. I've tried most of them. Spotify is definitely my clear favorite."
"on September 21, 2016","This is the best music app ever barely plays ads and you get your choice of your kind of music"
"on January 5, 2017","It's good but I think it shouldn't be so expensive should be 5$ a month"
"on February 25, 2017","I like how you can to music in most apps and during school while working."
"on November 8, 2014","I have tried all the usual ""my music"" apps. This is the easiest one I have used. The way they have it set up you can listen to all the music you love. Arrange it any way you want. I only just started yesterday and I am totally hooked."
"on December 5, 2016","Well done Spotify. Great music great price."
"on October 20, 2016","Love it, keeps my old music safe .I know when I want to listen it will always be there."
"on November 17, 2014","Spotify has a large songs list. This is the best music app in my opinion. It is very simple to select or find a song. Music list are very useful as it offers a good selection according to day or preferences. Very simple its better. Recommended."
"on December 25, 2015","I love this app. And yes, I have the paid version. But I think it is totally worth it. The music is always the best quality and I've never had any problems."
"on July 25, 2017","Nice"
"on August 16, 2017","Good"
"on January 24, 2016","This is like the only thing that is good to listen to music on my kindle all the rest of the stuff it did not work so thanks 😊😊😊😊😊😊😊😊😊😊😊😊"
"on May 29, 2017","Great Music at the touch of a button.... or voice control via Alexa..!"
"on August 7, 2016","Well it's pretty good but my only problem is the premium thing if it was free I would like it a bit more"
"on April 30, 2016","I am new to Spotify. So far I like it a lot. I a still have a lot to learn especially about finding my favorites and playlists."
"on June 16, 2016","I swear this is the best app I've ever came across in my life!!! Trust me, I've been across a lot of apps in my life"
"on July 29, 2016","The music is good offline but the suggested songs are not good it's like let me listen to what I want!!!!!"
"on October 11, 2015","This is a very efficient music app, actually the best working app I have ever bought but it actually costs $10.00 a month to use. Just thought I'd let future customers know."
"on August 15, 2017","I love spotify!!!"
"on August 19, 2016","I love the playlist feature. I like to see what my friends are listening to and joining in with them."
"on February 6, 2015","Recently left another paid service because we were told my husband and I had to have two paid subscriptions in our home. Didn't like being policed by ""big brother."" Wish I had tried Spotify sooner. Very user friendly."
"on June 6, 2016","Spotify is one of the best music streaming apps that there is. I recommend this to any one that comes across this app."
"on December 31, 2014","This app is really helpful when you're trying to find a certain song"
"on February 8, 2016","Spotlight rocks! You can listen to stations or pick your own songs and create playlists. I listen to it in Italy, the States, and even in Africa."
"on March 8, 2015","I love this app because ,it has a huge selection of music to pick from and many different types .It's really fun to mess around with the music and listen .I think you should get spotify. #Thanks for reading my review! (:"
"on July 13, 2017","I love it, great for on the go or just driving in the car."
"on March 27, 2017","How to go premium?Thats the problem,music is great though!"
"on July 13, 2017","Love this app love love love it.It is awsome"
"on August 21, 2017","I love Spotify and use it almost every day!!"
"on August 9, 2016","Still working on understanding Spotify, but love all the playlists & the ability to download are great!"
"on October 21, 2016","I love Spotify! I especially love listening to what I want, where I want, when I want!"
"on October 18, 2015","Did not expect this, this is just great! Thanks to Spotify, I'm listening to I Will Survive! Thank you, I will recommend this to anybody who just wants to listen to music!"
"on September 8, 2016","I love and totally enjoy the premium version, but the free version, you can't do nothing with..."
"on January 20, 2016","I love it! I sleep listening to my playlists on my phone and often play the provided 70's playlists during the day on my tablet. Thank You Spotify!!!"
"on January 25, 2017","I got the app for my husband's Fire--he is LOVING downloading his music!"
"on July 25, 2017","Free premium trial and the songs....... They're awsome (the hip hop ones"
"on November 8, 2017","I don't like you have to pay to download why not just go on Amazon music"
"on January 16, 2017","saves me money by letting me access so much music without buying albums."
"on June 10, 2017","Amazing app for your free time"
"on August 6, 2017","I love love the spotify music"
"on September 20, 2016","Great but needs more songs And maybe videos and sometimes says no WiFi when I have a full bar"
"on December 16, 2014","It's likes better than pandora. So I'm giving it a 5 star rating. It's cool because you can find the music you like instead of listening to songs you don't like come on without permission"
"on February 19, 2016","Only downside is that there are some albums that are not on the app. Like Duke Ellingtons Black Symphony and Travi$ Scott's Days before Rodeo."
"on February 6, 2016","I really enjoy Spotify. But I just updated the app and it's skipping and pausing my songs. Even if I don't even touch my tablet it still does it."
"on November 11, 2014","One of the best music apps I've used. They offer variety of playlist for you to choose from. They also give you the opportunity to make your own. Whatever mood or genre you are looking for they have it. Including book and motivational speeches."
"on November 8, 2016","I love this app. Especially if you subscribe with no commercials. I highly recommend this app."
"on August 10, 2016","Is great but since i update it put some code is not let it me join in so dont forget ur password lol."
"on January 27, 2016","I have never had trouble finding music in a variety genres, from oldies to Christian to movie soundtracks. This is an unbelievable site. Well done!"
"on November 23, 2016","The best music app. Subscribed to the family plan, the best out there. Deleted and disabled all other music streaming apps."
"on August 10, 2016","Great way to listen to music. However not totally sure how to get rid/delete music you no longer want"
"on July 2, 2016","I love this app it let's you look up song and listen to them the only thing I don't like is that there are adds"
"on March 5, 2016","I have both of them and feel Spotify has better selection of music on albums especially. I only have one complaint, more ads than Pandora."
"on October 26, 2014","Love it!"
"on August 23, 2016","I like this found a lot of music from other countries that I couldn't get on my other music sources"
"on December 1, 2014","Just what I always wanted, Pandora with options. Now I don't have to go buy an entire album to see if it is good. I just wish that some artists wouldn't take there songs off of here and would live for the people, not just for themselves."
"on October 17, 2017","As good as they come! Dependable and complete. Love it!"
"on August 12, 2017","I use it when I'm working out. The playlists are great 😊"
"on June 16, 2017","great collections of songs no matter what mood you are in"
"on June 24, 2017","Awesome control of all the artist you like."
"on April 24, 2017","Very good for party's and just to listen.🐢"
"on December 30, 2015","But apparently it's the artists who feel like they're getting robbed of royalties. That's none of my concern though. I use this service all day everyday."
"on February 11, 2016","I am able to build my own custom playlist from all of the genres I enjoy! I can have one for exercising, relaxing, and riding on my motorcycle!"
"on July 31, 2014","If your like me and you have music in your veins instead of blood, get this app! Free skips, download anything you want and if you get premium for 9.99/month( a little too pricey:/) you can listen to your music without a connection! Definitely worth 15 stars!!"
"on November 8, 2015","Absolutely love this app! So much better than Pandora. You can actually search artists and songs and play individual songs and albums. Definitely worth the download"
"on December 20, 2016","So awesome all the songs I had to pay for I don't now thanks to spotafi"
"on December 12, 2015","Spotify is the best service available. Used MOG until Apple killed it through Beats. This is great.  So far this is the best experience I've had."
"on January 11, 2015","I love spotify!! They have all the new songs I want to listen to. I love that it lets you save songs you listened 2 so when your in the mood you can go back and listen to it. I also love that you can make playlist specific to you."
"on October 8, 2016","Me: *Turns on Pandora* *Ad appears right away* Me: *Delete Pandora* *Opens Spotify*"
"on July 14, 2017","This app is awesome I love it"
"on September 29, 2015","It is an ok app for music, but it doesnt get out of shuffle most of the time. If you want to listen to a specific song, you have to wait, but i dont have the patients for it."
"on November 19, 2016","Such a fun music program to use. Easy to navigate and lots of music to enjoy:)"
"on April 1, 2016","It is a great app but I really need help. I can't play it offline and it won't let me download the premium version. Please help me."
"on January 19, 2015","This is an awsome app has all the music u want and is available on all devices it awsome honestly but the only think I don't like is that it doesn't work with any WiFi u have to pay for that BUT BEST Music app out there!😘😘😘😘"
"on February 9, 2016","Spotlight is amazing! Pandora is nothing when you can have every song you've ever wanted! All you have to do is search the title and BAM music."
"on September 11, 2015","Words cannot describe how having access to all my favorite songs have improved my mood. By all means, if you may, get the premium version. Offline storage is definitely worth it."
"on December 19, 2015","Absolutely fantastic . easy to use and navigate. Few suggestions:  1. Based on the type and genre , suggest a list of songs 2. Preview mode"
"on August 2, 2016","there are a lot of my favorite songs but there are some where you can only here a cover or instrumental"
"on December 6, 2015","I love being able to create my own playlists. I don't always like every song on an album, but with Spotify I can pick and choose which songs I will listen to."
"on May 29, 2017","1247*-:@+)1:#7="
"on November 18, 2016","I loved spotify But it won't let me update it! ('w') - I will MURDER you......"
"on January 8, 2017","I can find all the songs I want in a low amount of time"
"on June 21, 2014","Gives me access to all kinds of music. What I like the most is that it also features music from my country."
"on April 11, 2016","I listen to Spotify daily, it is good for listening for music and its good for exploring new possibilities in terms of new music."
"on April 28, 2016","Excellent variety of music....I especially love the 'Word' playlist. Not many technical issues and the layout is easy to use."
"on June 15, 2016","Everyone should get this"
"on April 2, 2017","Great price drop start as often as you want with premium"
"on April 23, 2017","OMG I love this app, where has this been my whole life??"
"on May 14, 2017","This is the only music app is use for basketball pump up"
"on December 21, 2015","It works perfectly fine except for a few times, but that is just my internet being sub-par. The only thing that I wish would change is the premium prices."
"on November 7, 2014","Pretty good, better than the free iHeart app. Most times. LAMEST PART; THERE IS NOT ONE REAL TRUE BEATLES SONG, the only thing users have access to is knock off Beatles tribute bands and covers. Uber-lame. Get it cuz it's free though, I guess."
"on October 12, 2016","Spotify gives you easy access to thousands of songs, genres, podcasts . and its free!!"
"on January 16, 2017","I love this app. I can look up any song no matter how old the song is."
"on September 11, 2017","Great app. Lots of music to listen to and they also have podcasts now."
"on January 22, 2017","Spotify is great you can use it anywhere and it has a lot of music🎆💛"
"on November 22, 2016","I love this app, I would recommend It to anyone that likes to listen to free music, but the only thing I don't like is you can't listen offline."
"on January 4, 2017","spotify rocks but premium needs a little longer demo maybe thirty days"
"on September 12, 2015","I like this app but the only thing I don't like about it is that it is missing lots of songs that I would only find on sound cloud but in all it is good and is easy to organize."
"on October 3, 2015","Very happy with Spotify on my Kindle. I can exit out of it and have it still play whilst browsing the web, or lock my kindle and keep it playing. Even better than my phone."
"on December 11, 2015","honestly this is so much better than pandora.yea whatever pandora is pretty cool,but with spotify you can pick yoir own music like thats so much better (((:"
"on June 17, 2016","Amazing app!!! Seems like the music never ends! I could never get bored with this, finding new music, New artist."
"on November 10, 2016","Awesome music app!! I have yet to search for a song that Spotify doesn't have."
"on June 7, 2016","I love music.Who dose not like music.Music is life and it would just be quite without it.So I LOVE IT😄😄😄😃😃😃😃"
"on April 23, 2015","Your app is perfeft now that there is album art... Spotify is incredible! Every album! Decades and current albums unlimited.. P.S. This app is running perfect from the Amazon App store in My BLACKBERRY CLASIC"
"on November 26, 2016","Love this app! So easy to explore new music and enjoy favorites, fantastic!"
"on June 18, 2014","I like it very much. It's great if you work in an office. I use this app almost every day."
"on June 27, 2016","Love it - take a bit to get use to if you've been on Pandora but is worth the monthly for the better bit rate!"
"on January 25, 2016","This app lets me get all the music I want. And let's you create as many playlists as you want. It couldn't possibly get any better in my opinion."
"on May 11, 2017","I love that I can listen to any song whenever I want to"
"on May 20, 2017","This app is amazing it has almost every song ever made."
"on March 27, 2017","Not much to complain about its good and free. I like it"
"on March 13, 2017","Its the best music app ever in my opinion"
"on September 8, 2017","Great music app. Way better then Pandora."
"on June 14, 2017","Awesome app I love listening to the music"
"on August 13, 2016","This app is so cool and helpful because u can turn off your thing and still hear and get turned up."
"on May 14, 2016","Like using Spotify on my kindle fire, esp since I can't download my personal library to my device from the amazon cloud."
"on April 6, 2016","Spotify is flat out the best free music supplier out there. You actually get some of the premium features when you listen on your tablet."
"on January 10, 2017","Would give it 10 stars if I could. I find music that I like. THANKS"
"on February 5, 2017","Not a fan of the repeat ads but since I'm too cheap to pay I'll deal."
"on December 23, 2016","Enjoy being able to listen to my favorite music at home or on the go."
"on November 28, 2016","I love spotify I use it for everything I don't know what I'd do without it"
"on February 23, 2015","Good app overall but it is not very intuitive- the IU needs to be redesigned to make it easier. How do we de-select a song? More work required, yet the concept itself is great as it has allowed me to pick in world music!"
"on January 23, 2016","This app is cool , I have a bunch of CD's but nothing to play them on with Spotify I can search my CD's or albums and listen to them on my tablet"
"on September 6, 2016","I think it is a great app!! Best music app because you can have an account and look at others"
"on April 16, 2016","Love it! Great app amazing songs! Must have for anyone who loves music and that live radio feel, yet with your tastes in mind!"
"on July 18, 2017","Great program"
"on July 18, 2017","Excellent app"
"on November 26, 2016","Spotify is awesome I love playing my music collection and listen ing to it"
"on September 21, 2015","😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘"
"on January 3, 2015","Spotify is the best. There is only one flaw. I updated it and now when i go to my playlists,the app crashes. I have found out how to get it not to,but they should really fix it. Other than that the app is the best music app ever."
"on October 17, 2017","Love Spotify!"
"on February 25, 2015","Sweet Streaming station. Have always been a fan of Pandora and Slacker. Decided to hear for myself what the big fuss was over Spotify. Great selection of genre type music, but also allows you to make your own playlists."
"on May 2, 2017","Nice music recommendations and pretty good quality😊👌"
"on May 14, 2017","Its quick and easy and it is free for the most part:-)"
"on May 25, 2017","Been using it since highschool, love it."
"on July 18, 2017","Easy to use and has all the latest songs"
"on June 1, 2016","I can't believe it took me so long to use Spotify. I've got the music I want, when using want it. Can't beat that!"
"on February 12, 2015","Absolutely no complaints. This app is awesome and I've yet to have any problems with it. I use it on a daily basis and never encounter Any issues. Great music selection also!! I've yet to not find a song I'm looking for."
"on January 2, 2017","Fantastic and love the selections available for the different genre."
"on December 21, 2016","It is great I can lisin to music all day on this 💗💗💗👏👏👏:-) !!!"
"on January 5, 2017","Wanted to be able to download a few songs that I enjoy listening too"
"on January 13, 2017","This is my go to form of music! Love it! Especially Spotify Premium!"
"on January 14, 2017","I think spotify is helpful to play all your favorite songs for free."
"on May 28, 2017","IT WAS AMAZING! I LOVED IT"
"on June 18, 2017","Suggest music I might like"
"on September 20, 2016","Every time I was aging for music I would go on youtube. Now I don't have to. Get the app."
"on March 6, 2016","This is by far the best music app I've seen in years. The Best. I recommend it to all of my friends. Getting premium is worth it, btw."
"on November 6, 2016","Almost any album, any song, and any artist Sporify™ Takes the Music Cake"
"on July 25, 2016","Great app, I can find most of the Music for my wedding here, and I can listen off line to save my data"
"on September 16, 2014","I love everything about this app! I've been using it for about two years now."
"on December 14, 2015","I love spotify because I can't listen to all the music I want the only think that could be better is being able to go back a song I love you spotify"
"on November 22, 2014","It's been said before but this service is f-in amazing. I have five decades of music in my head and whatever I think of- is there. Music is our shared culture, it shouldn't be locked in a vault. It should be available for us to enjoy."
"on May 5, 2015","By far the best music companion you could wish for! The free version is okay but being a student getting the premium for $5 a month is totally worth it. Gives you the power to control music across devices that are on the same account via cellular connection or wifi. Downloading tracks are worth it for road trips or when you're out of the city! Lastly the music library in which you can pull from is always growing and is very solid! Oh and by the way it also syncs with your itunes library as well as shazam! So you get the best of all worlds!"
"on June 26, 2017","Great app!!!"
"on March 8, 2017","Everything I need it to be."
"on November 26, 2014","Okay so when I got this I was so excited.... but then it started to say track can't be played no WiFi.... I have the most WiFi I can get. Seriously fix this I'm sick of it I just wanna listen to some music..... wish it could be 5 stars"
"on March 27, 2017","I love it's simplicity. Besides I find pretty much everything😘"
"on May 7, 2016","I have music on constantly. I use it for homework and just to not have everything so quiet. I highly recommend this app."
"on March 22, 2016","It's great to use for finding new music from your favorite artist problem is if you don't have WiFi then you have to pay to listen"
"on September 17, 2017","I love this app do much!! I definitely recommend it!!"
"on June 13, 2017","Able to find whatever I am in the mood to listen too."
"on July 26, 2017","I absolutely LOVE this app! Its the best music app available! 😍😍"
"on September 8, 2017","Best music app out there! Definitely worth paying the subscription."
"on January 23, 2017","LOVE THIS APP!!! Its so great, better than Pandora. Thumbs up!!!!"
"on August 12, 2016","I love this app!! It does promote premium a lot but the premium is cheap and soooooo worth it!!!!"
"on April 29, 2015","I love using spotify. I find all the songs I want to listen to and I listen to music on it everyday , but I wish they got rid of the premium and just let us listen to spotify anywhere with out Wi-Fi free."
"on June 8, 2017","AWESOMELY AWESOME!!!!!!!!"
"on April 26, 2017","Great app really enjoying"
"on July 21, 2016","I Love This App I can find almost all my favorite artists and music it's great you should download it!"
"on May 26, 2016","Very happy with Spotify, easy to use and it doesn't try to sell you anything after you sign up for Premium service."
"on September 24, 2016","This site lets me make my own play lists that I can play in my car and it sounds great!"
"on December 20, 2014","For music lovers and anyone who'd like to find new music and handy playlists, you have to download this app. It's not only the best one out there, but it also thinks about everything you need to find the music you want. Great app."
"on December 18, 2016","This is easy to use, and you can listen to your fav. songs anytime."
"on March 27, 2016","Love it so much but it sucks you have to buy premium because I sometimes want to leave to go somewhere and can't listen to music"
"on August 19, 2014","I love Spotify. The simplicity of it and the wide range of artistic choices. I would like to see more of that, an international artist library available to all consisting of all forms of art. A rich resource of study material for students of all ages."
"on March 31, 2016","Its a GREAT deal for the cost. practically unlimited music while in offline mode? They have superior selection. Would R8 8/8 M8"
"on January 17, 2016","I love spotify but it sucks when you want to play some james on the road but you have no WIFI and im not paying for it neither. But pretty good!"
"on November 12, 2014","The app is great. It lets you get song for free! Definitely get it. But the problem is if you play one song in a playlist, the next one won't play!!!!!!!!! PLEASE FIX!!!!! Other than that, AWESOME application, and better than Pandora. :-)"
"on May 5, 2017","#dabestever"
"on June 24, 2017","Great music"
"on August 3, 2017","Awesome app"
"on March 14, 2016","I can find all of my favorite songs here! I love it!!! &#60;3 &#60;3"
"on March 31, 2016","Love it but the adds are annoying but still better then Pandora and I like you can down load your playlist when you pay monthly"
"on September 22, 2015","Spotify has a good track record of good UI (user interface) and their Kindle app is also indicative of that. Very easy to use, go through playlist and even discover music."
"on January 16, 2015","My music when I want it.....more personal than pandora . You can custom build your own playlist with hand picked songs that u want to hear or you can choose a pre built playlist. I highly recommend this over Pandora any day."
"on February 3, 2016","It work earlier but I went on it this morning and it was changing the song when I clicked a song and it keep doing that I was getting madddd"
"on February 20, 2016","Once I became a premium subscriber never looked back. My ipod and offline music collection.. completely mothballed. Such a good product"
"on July 27, 2016","The awesomest thing is you can skip and its not like Pandora were you only alloed a number of skips!"
"on August 9, 2016","I completely love this app!!! So glad I found this app through Amazon, and I highly recommend it!"
"on December 3, 2016","I like it , but it doesn't have a few songs that I would like to hear."
"on February 28, 2016","Pandora is ok but I quit Pandora because I could not get me,myself,and I without listening to not the original. Spotify is way BETTER!"
"on March 13, 2017","Great variety of music, can always find what I want."
"on June 29, 2017","Great app although ads need to be volume controlled."
"on April 8, 2017","I love this you can listen to any song"
"on August 16, 2017","Works a little slow on the Fire 7 2017"
"on May 22, 2017","Great music, right at your fingertips!"
"on February 28, 2015","I really enjoy spotify. Yes, there are some things I'd change but to have access to that much music for a reasonable fee, I gI've 5 stars. Also, I like to give back to the music biz because I don't buy cds anymore."
"on February 10, 2016","This app is awesome because you get to pick your own music. The only thing you need to pay for is premium. Other than that, it is awesome."
"on December 29, 2016","I listen to it all the time and its really really amazing and cool"
"on January 13, 2017","Email,password and uersname you had to fill when your signing up"
"on January 21, 2017","User friendly, lots of different music and plans to keep all happy"
"on August 9, 2017","I was surprised at the variety of music offered I'm very pleased😀"
"on February 17, 2017","great way to check out music without purchase or many commercials"
"on January 8, 2017","This is a great app its easy and simple I can have as many playlis"
"on January 4, 2017","I love this app but I only got 7 days of offline accessibility. How do I upgrade to Spotify premium. Do I necessarily need to log in to Facebook??? Please help😑"
"on March 11, 2017","Never will delete this ."
"on August 1, 2014","Spotify is great for me cuz I love to listen to my favorite artist and favorite songs everywhere I go. And I can also search for all my favorite songs and their all there. Whoever doesn't have this app should download it right now because it is so AWESOME!!!!"
"on October 30, 2014","This is the beat app ever have been mekeing playlist for everything I LOVE IT this is a must get app the only this is that there is adds but there is adds in like everything and there is lots and lots of music and it has every thing I need"
"on February 9, 2016","I can find any kind of music so quick and I do not need spend so much time to it. Thank you very much developers for this fascinating app."
"on September 28, 2016","The app has been crashing since the new update. Still a great app! Worth downloading."
"on April 2, 2016","Easy to use, relatively easy to upgrade. I like the depth of Spotify's artist/album base and the off-line storage capability."
"on June 20, 2016","All of them! Literally, all! I love Spotify! It is the best streaming music app, period. No doubt. Get this!"
"on August 19, 2014","I love Spotify because you have music at your fingertips. This app is amazing if you are a music lover. You can listen to any song you like , it's there for you. Has new music and old music. The music is there all you have to do is find it and listen."
"on March 10, 2016","Love this app. My only issue would be is to change up the commercials a bit. They are redundant. But I listen everyday. Love it !!!"
"on July 12, 2015","Good for playing music in wifi. Soundcloud lets you listen anywhere without wifi free, but spotify is what i prefer"
"on July 7, 2016","Great but it does take up wifi 😕 I'm jutsbglad of doesn't tak up as much battery as it did on my phone"
"on August 23, 2014","Easy to get all of your favorite artists past and present. Single cuts, albums, and  Playlists. It's all there. Inexpensive. A wonder of every type of music. Just enter spotlight and off you go so easy to follow And fun to create! A must have!"
"on October 5, 2016","I love this app! I am able to find singers, groups, or songs by name quite easily."
"on August 31, 2015","This is the best app for listening to music. Whatever song you want. Anytime. I love it so much. If you are looking for an AMAZING music app that's free you found it. Love it."
"on February 3, 2015","This app is amazing, easy to use and fun. Although they could little songs on your search for the people who like nightcore and stuff they could have a larger selection. Other than that it's amazing of you have internet"
"on December 13, 2014","THIS APP IS AMAZING THEY HAVE ANY SONG U WANT N I MEAN ANY SONG THIS APP IS SO GOOD BUT THE ONLY THING ITS MISSING IS VIDEOS BUT MUSIC WE IN THE I RECOMEND U GET THIS APP (put in all caps to tell u how good it is) :);)/)$)&)!)"
