"Date","Rev"
"October 6, 2014","I love Pandora but comes on better from the computer than on my Kindle so I am going to stick with the computer to hear my Classic Country..."
"June 24, 2016","Convenient"
"June 3, 2014","This app takes you right to your Pandora program where you can fashion your own radio stations, pick the genre and specific music you'd like to listen to. Very cool."
"July 9, 2015","I can find the music I like any time. And I can listen to whatever I'm in the mood for."
"October 24, 2012","downloaded pandora app onto kindle fire & everything went fine. when i went to open up the app nothing happened. uninstalled app & tried again & even though it was installed still got a frozen screen. frustrated!"
"January 17, 2016","I can't choose a kind of song it really sucks"
"March 6, 2016","My son loves the Kids Bop Station!"
"May 30, 2015","Great choice for all of us. Many different types of music and we can all choose our favorites."
"February 17, 2016","I just love pandora best stations ever"
"January 1, 2014","I love the ease of the station, the millions of choices for old and new music, the details I have at hand on the song. The only thing I would change is the number of times I can pass in a song."
"July 9, 2015","Pandora streams almost flawless. Its easy to find a station for you, by artist or song."
"January 25, 2014","The ads are ridiculous. There are apps that do the same thing for free and you don't have to wait for the ads to run."
"August 1, 2014","I went back to using spotify because I couldn't ask for a song by title."
"September 25, 2015","I love Pandora, it's easy to use and I love creating my own stations!!"
"April 22, 2016","It seems to crash often."
"June 14, 2016","LOVE PANDORA"
"July 24, 2014","I love how it learns the songs I like. I was never a big music person because I could never find a good radio station. Now I listen all the time to Pandora"
"January 26, 2013","I'd recommend this to everyone who just want's to listen to what they like.Without all of the other junk in between.Once they get some of your music tastes down,it just keeps getting better.It's straight up awesome,I listen to more and more everyday"
"June 1, 2014","Romantic Classical. What can I say? It's the bomb and I highly recommend it. Pandora makes it easy to find music you like so you can build your own music library."
"July 27, 2015","Works great on a BlackBerry Passport, I enjoy music and this app brings that to me."
"February 21, 2016","Pandora rocks, why use anything else."
"June 1, 2016","Excellent music"
"December 2, 2013","Great stuff! This is radio as it should be. The format is exceptional. The music suggestions are great, and the ability to listen to music without interruption is unique! Two thumbs up! Way up!"
"April 7, 2014","I love this app, I can take the music I like anywhere I go. I use it to clean house and to work out."
"March 9, 2016","Love Pandora! I give it 5 stars!"
"June 18, 2016","Uninstalled"
"March 13, 2016","Great music. Options are endless"
"May 4, 2016","Continuous good mudic"
"April 25, 2016","The options are endless"
"January 19, 2016","Great love it. I can pick the music I like."
"September 23, 2014","I love Pandora it is a beautiful music streaming system.I can listen to any kind of music just buy the touch of selected another type of music."
"December 29, 2013","My kids were so excited to see me download this onto their tablet that they got for Christmas. It was very easy to download. We have been listening to all kinds of music. Well worth getting."
"June 6, 2015","I have to register and when I did it said that they couldn't except me at the time. It was so frustrating!😱"
"August 12, 2013","I am new to pandora but i am in love!! you can type in almost anything and it will play songs similar to what you put in. then you like or dislike what they play and they customize what songs they add to the playlist."
"January 9, 2014","Pandora is simply put AMAZING! I can set my channel that I love (Classic Rock) and let it play All Day! Pandora is Perfect. Just chose what Genre you love, select and let it play for hours!!!"
"July 25, 2013","That app but it gives a couple of days or weeks to listen to your personal radio then it give you options listen on your computer or pay then another option was subscribe or rate which I think you had to pay for that two"
"February 6, 2014","Pandora is the best way for me to listen to music and do other things without having to reopen the app and look for another song. They could lighten up on the ads though #frustrated"
"June 8, 2016","Couldnt login"
"March 8, 2016","It will not play for some reason."
"May 30, 2016","I love Pandora!"
"December 27, 2014","This app sucked!!! Could not get it to open. Glad it was free so I didn't waste any money. Will stick to I heart radio!!!"
"July 4, 2016","Perfect"
"June 12, 2016","You need it!"
"November 25, 2015","I've used Pandora for a long time and think it's great!!"
"June 4, 2014","Very happy with Pandora. Use it frequently and have never been disappointed with their selections staying within my ""like"" parameters. Lots of great oldies!"
"February 28, 2016","Music will not play after app is on"
"June 3, 2016","Love it!!!!!!!"
"November 25, 2015","My wife just told me about this last summer as I LOVE IT"
"May 7, 2016","Excellent free music"
"May 29, 2016","Just love it..."
"September 8, 2015","I like having the selections so easily on hand rather then changing CD' s"
"April 19, 2016","I'm pleased with Pandora"
"February 5, 2016","I use it nearly every day! Great format."
"May 31, 2015","Downloaded this app so I could access Pandora on the Amazon Echo and it has worked flawlessly."
"June 25, 2016","Very good"
"March 4, 2015","The application freezes a little bit, but closing it and then re opening it normally fixes these issues. Thanks."
"November 24, 2015","Great to be able to listen to the types of music I like."
"January 26, 2016","for some reason it won't take my password."
"June 24, 2016","Fantastic"
"April 17, 2015","I like it except for when I'm in the middle of a song it'll just suddenly stop playing music altogether"
"May 15, 2013","I love 80's freestyle music. I put pandora on and it throws me back to the good ol days where break dancing and having a good time was easy. It plays music i forgot i use to listen to also. I absolutely love it. Can't stop dancing or singing lol"
"March 30, 2014","I like that I can choose music that appeals to me. I can mix all kinds of music. Just getting into it. Anxious to add more artists. Thank you for offering this experience free."
"November 30, 2014","I got it because my daughter was playing the Reliant K Holiday station and I loved it ! So far I am enjoying the holiday music :)"
"March 2, 2016","Pandora is great. A lot of variety"
"June 22, 2013","Very nice app that I use all the time on my new Blackberry Q10 because it has a third party app to run it with no ads. Using it on my Kindle Fire is annoying with the constant ads. I'm sure iheart and others are just as good."
"June 6, 2016","limited music"
"June 6, 2016","LOVE THIS APP"
"June 2, 2014","Pandora is one of the great innovations of all-time. From JS Bach to John Denver to Norah Jones and countless others, it's all there. (and the price is great, too!)"
"January 28, 2014","The choices of and quality of music is. Fantastic. I really enjoyed the selections during Christmas. I am sure I will be happy with Pandora for listening and relaxing for years to come."
"July 15, 2016","Nice"
"December 31, 2013","I love this! I use the baby einstein station for my grandchildren and the enjoy it and often soothes them as they play. I like the classic rock for myself, I rarely turn my radiio on any more."
"September 25, 2015","I don't always listen to music, but when I do, I always use Pandora!!"
"December 2, 2015","Great choice of music... Good variety too..... Love it"
"December 2, 2015","Love all the songs that I like and can listen anytime!"
"May 1, 2016","It is my music source"
"December 2, 2015","So far so good, haven't had much time to listen to it."
"January 11, 2014","This is a great app always have been always will be. I don't care what device you have Pandora on. Is going to function to the utmost I had a recommend this to other people it is just great!"
"May 15, 2015","Pandora is a great source for keeping a great ambience, especially when you need to fix the mood."
"May 5, 2016","my daughter loves it"
"May 23, 2016","Love pandora...."
"June 27, 2016","Love it."
"December 9, 2014","WHY would anyone use Pandora----go with Jango. Jango lets you skip bad songs unlimited, not limited to 3 like the competition."
"June 10, 2016","Too many ads"
"October 22, 2015","Great app. I really love the ability to make your own stations."
"May 9, 2016","Love it great music"
"December 20, 2013","I love how quickly I can access Pandora through this app. No trouble so far easy to log on so I can get the station I want."
"December 30, 2013","Easy to download and easy to use. I even recommended it to my sister who listens to it every day. You get to listen to what you want to hear instead of what someone else wants you to hear!!!"
"March 6, 2014","Pandora has all of my favorite singers right at my fingertips! There are many singers and songs roo choose from. The only thing I don't like are the interruptions from advertisers."
"May 22, 2016","Great selections"
"April 25, 2016","GREAT APP...GET IT NOW"
"June 17, 2016","More skips"
"January 9, 2014","87% of the time it closes before it even starts. Then I choose it again, and it opens. And now it doesn't even make it past the load screen sometimes until I turn off my Kindle and back on."
"July 16, 2015","Better music , then Sirius radio and free too I drop Sirius not paying for that junk"
"January 23, 2016","Nice way to customize your favorite music."
"April 20, 2016","very nice and very good"
"March 17, 2016","works well. Not many ads."
"October 12, 2014","Another great free App. Music of your choice all the time you are doing anything else on your tablet or phone. Don't miss out on this one."
"January 23, 2016","I love being able to make my own stations!"
"May 3, 2016","can't access pandora"
"November 7, 2015","Let's you listen to music on my fire like any other device."
"July 5, 2014","I have listened to Pandora music for over a year now, and I have enjoyed the freedom and variety of music offered through this app. It syncs well with my laptop and I know that it keeps a record of all my favorite ""thumbs up"" songs. I have appreciated the fact that the advertising on the app is not all intrusive, but is displayed in a small box in the center while the music plays on. My only negative, is that my music choice while enjoyable will tend to repeat itself more frequently after listening for a few days. The variety is limited and repetitive because it is free, but otherwise it is a pleasure to listen to Pandora. I believe it is worthwhile to invest in the paid version which offers more choices to those who can afford it."
"February 20, 2016","It's an App, it is for Pandora. That's what it does."
"June 19, 2014","No other free music system let's you choose only the music that you like. It's something I have on all my electronics from TV to smart phone and I use them all"
"June 29, 2016","Love it"
"June 29, 2016","Awesome"
"February 9, 2016","Wonderful website for selective music."
"January 7, 2014","I have used this software for years. I enjoy listening to music in many genre and have my favorite artists and Pandora has consistently gotten better over the years. I am very appreciative."
"March 1, 2013","Pandora plays all the right songs you want, always the genre you want. The only bad thing I have to say about it is that there are adds almost every three songs! But, overall if you are a person who likes music I definitely recommend Pandora!"
"May 2, 2014","Great app. I have been using Pandora since before there were apps and highly recommend it. Great features in place and modifications to make it better keep popping up."
"March 29, 2016","The wife and I love Pandora"
"January 13, 2013","Not real pleased in January as it is still playing Christmas music. I am able to receive this on my computer, my Droid and my Kindle which is prodigious. Remember you can only skip forward 6 songs per hour. It allows you to like or dislike a song"
"March 29, 2016","Tunes tunes and more tunes."
"April 23, 2016","Use it all the time!!!"
"June 13, 2014","Great personalized radio. Love the options and variety without interruption. So easy to find a theme, change when your mood changes and return when you're ready."
"May 22, 2013","What is not to like if you can listen to your favorite type of music. Wish they could give you more free time on your kindles. 40 hours just not enough and can't justify the extra cost for more, when listening to radio is free."
"April 17, 2014","Try as I might, this app does not work on my Toshiba Thrive 10 tablet ... However, I use it on my Roku boxes and LOVE it!"
"March 29, 2016","NO Thanks,,,,not impressed."
"March 18, 2015","Love how easy it is to connect and make music choises. works great for me and I don,t mind the commercials."
"January 5, 2015","Pandora is great. You can listen to already established stations and build your own station with all you favorite music."
"February 4, 2016","I love it! I listen to it all the time!"
"September 13, 2013","Okay so like I love music right and pandora is the beast app it's so awesome it gives you lyrics and the song and the artist background it the best everyone buy th s app now's it's the best like ever okay bye"
"February 3, 2014","I have several ""stations"" and pick the one I am in the mood for or start a new one. I like the choices they make, and if I don't---poof, it is gone. So, I never get tired of it."
"March 2, 2016","It's there for me whenever I ask."
"October 30, 2013","Control your own music by setting up stations based on the types of singers you like. Separate genre's by station's of your own and even access music from other countries without having to travel there."
"December 3, 2015","Love it got all the gospel songs I love. Thank you 😊"
"March 2, 2016","Great... Better stations than xm."
"June 28, 2016","Met all"
"April 26, 2015","I love this app Pandora because it can play whatever songs you want it to play and plays cool songs."
"May 6, 2016","enjoy it very much!"
"May 4, 2014","totally enjoy listing ti MY music.can hear all my old favorites and find new ones .pandora is very enjoyable totally ."
"June 28, 2016","love it"
"August 24, 2015","I love walking my dog for our daily walk and listen to my Pandora stations!"
"September 25, 2015","I love all the music! All the songs I want to hear. Oldies and new."
"May 6, 2014","love streaming music...would prefer it without ads...but better than regular radio. love choosing my own music. wish it came with a ""dummies"" instruction book"
"February 20, 2015","I don't know who this rating would help since I can't imagine anyone not knowing about Pandora, but it's awesome."
"January 20, 2016","Excellent variety. I'm very happy with it."
"June 27, 2016","Love it"
"December 24, 2014","works just as well as all the other platforms. I wish it wouldn't stop so often but that is why they have the paid version."
"June 18, 2016","Love this"
"October 29, 2015","Great music"
"May 31, 2016","would not run"
"January 26, 2014","Great selection, great optional media to play the music on, and the portability is the most fantastic element. You can have it with you wherever you are, home car, office, beach,,......."
"December 28, 2015","i love oldies sam cook Otis redding and others."
"May 9, 2016","Plays what I like."
"May 31, 2014","This app is the best thing since sliced bread! Love all the different music you can listen to! I think everyone should this on every electronic they own!"
"November 17, 2015","Son uses it ALL THE TIME, in & for the shower!!!!!!!!!!!"
"October 25, 2015","I recommend this app to everyone who loves to listen to music"
"January 19, 2016","Love the different songs you can listen to"
"July 25, 2015","It's pretty cool. I use it often. Love that I can personalize my radio listening."
"July 22, 2014","My kindle shuts off automatically when not in use therefore, my music is not continuous. I love choosing my favorites. The selection is unlimited. Thanks"
"May 26, 2016","Love Pandora!!"
"March 5, 2015","Pandora or a matches every mood I'm in I've had it ever since 2011 and I literally listen to it everyday..💋💋"
"February 10, 2016","Pandora is awesome all in one station"
"March 10, 2015","lots a awesome random music.i love almost every song that comes on to the radio.totally awesome.relaxing too."
"August 11, 2013","I wish there was a better selection of songs on some channels and there were no ads...but it's free...so what are we really able to complain about! I would have given 5 stars if it worked properly on my Android too."
"May 17, 2016","love this app!!!"
"May 8, 2016","Have no good music"
"June 8, 2016","Great music"
"November 21, 2015","I love Pandora it has all my favorite music and artist."
"February 10, 2016","Awesome! I love listening every day!"
"March 15, 2013","I have Sirius. This is free. You can tailor make your own stations! love it. As a matter of fact< I am cancelling my Sirius subscription as it has become moot because of Pandora!"
"June 16, 2016","Its great"
"May 3, 2016","I love the variety."
"March 30, 2016","Easy listening and calming"
"November 18, 2016","Pandora is good music to sooth the longing heart for times that have past and are missed in today's hussle."
"June 24, 2014","So cool. Love the fact that is free and it stands by being free not like other programs. also you won't be bored since it can customize the music just for you"
"December 31, 2015","love Pandora radio. Lots of celtic music there"
"November 16, 2015","I love Pandora has a great variety of my favorite songs!"
"November 26, 2014","Free music! What be better than dancing all day to your favorite music? If you like the latest song I recommend this app highly."
"June 20, 2016","Love it!"
"June 25, 2016","Love it"
"June 7, 2016","Fantastic!!"
"January 31, 2016","You can always find your type of music."
"April 19, 2016","cost to much for music"
"August 21, 2013","I love Pandora, but it doesn't seem to be working correctly on my kindle fire. It doesn't go past the blue screen. I'm very disappointed. Please fix."
"April 14, 2013","Easy to use and customize stations. Touch controls work well. Lacks availability of some more obscure artists for those with very diverse musical tastes. Great for background music when you don't feel like putting together a playlist."
"October 10, 2015","Great app, been using it on various devices and my pc for years."
"June 11, 2016","Great app!"
"March 2, 2016","Excellent been using for 5 years"
"March 18, 2015","the app won't start for my kindle. I like pandora but with the app crashing on my device, I'm disappointed."
"June 24, 2015","Love it - great selection of music - it just needs to have an unlimited amount of skips"
"June 15, 2016","Nice!!!!."
"June 15, 2016","Love it!!"
"December 2, 2012","its ok. im not really satisfied with this app, though it was free. its very annoying, ll sometimes have to go back to the app while reading a book or playing a game to press the play button again. but, it was free, so its ok for not having to pay for it."
"August 7, 2013","I just downloaded this app and love it! There's nothing like reading a great book while listening to whatever music style you like. I can't wait to explore it more and pick other types of music for easy listening!"
"December 2, 2015","By far my favorite for listening to my kind of music"
"October 13, 2015","I have really enjoyed Pandora in my new car..better than Sirius"
"October 14, 2013","Loaded Pandora on Tablet and PC. Works OK on PC but not on tablet. Exchanged 5 emails with tech support but still had a problem. Gave up!"
"October 22, 2015","Love listening to old songs that you can;t here on the radio."
"May 5, 2016","Item as described."
"June 19, 2013","Okay so when I open other apps while using Pandora when I go to skip it makes the screen go black then my Kindle tells me that it need to force close so press okay and then it just reopens the app with out me telling it to."
"February 3, 2016","Connects well! No buffering as of yet!"
"May 27, 2016","User Friendly"
"February 21, 2016","works for what we need to work as."
"April 30, 2015","As most of you know, Pandora is a must at work! This is one of my favorite apps. Highly recommend."
"May 1, 2013","I'm hooked! Really enjoy creating own station selections and like option of adding variety to established station. I have free version so get the pop up adds and commercials. The commercials are very brief though so it is worth it."
"May 27, 2016","The best ever"
"May 29, 2015","Use Pandora on the road mostly . Luv it sometimes it's on point. Makes the trip enjoyable."
"April 20, 2015","I have just down'd Pandora and so far it is a fantastic App. It finds other music LIKE the song I pick and allows me to build what is called a Radio Station. Pandora suggests an artist or song and you can reject it or add it to your station. Once Pandora knows what you like it will play songs from that artist, or era, (80's rock). I think it does even more but as I mention I just acquired the app. Also it's free with small pop-up ads, or you can pay and then no ads at all. I really like it!"
"April 26, 2016","great music all day!"
"June 22, 2016","Love it"
"March 9, 2016","Pretty good for being free...."
"May 31, 2016","It is great."
"January 27, 2016","I get to custom tune my own radio station."
"November 18, 2014","I listen to pandora 24-7 just about. I only watch tv approx. 3 hrs a week the rest is relaxing music, piano man etc while I read."
"January 2, 2013","This music service allows me to listen to several songs from an artist that I might have heard on the radio or TV, and really find out if I want to hear more. It is easy to use, and setting up a new station takes a few seconds. Couldn't be easier."
"January 2, 2013","I love Pandora. I only use the free app., and still its awesome! The commercials are rare, and I don't mind them anyway. Commercials allow the program to exist - just like television. This is a GREAT way to get all the music you could ever use!!"
"April 12, 2016","Hi I love Pandora music"
"May 8, 2016","Very easy to use."
"July 18, 2013","This program used to be the way to listen to your music and ""chill-lax"" but now it has, at least this is how I feel, I am elderly, but it has gotten to hard to use. Wish it were still simple, hated to leave it."
"November 3, 2015","Easy to use and very nice to have access to music anywhere"
"March 17, 2016","I love it so glad I found it"
"August 22, 2013","This app works on my android but not on my kindle anymore. Just says ""Pandora one"" nothing else. I would change my review if this is fixed"
"September 21, 2014","great for my new smart phone. Still figuring out all the bells and whistles but so far I'm happy and so are the other members of my family."
"June 30, 2016","great"
"February 19, 2016","Simply outstanding love Pandora !!"
"February 26, 2014","I am an eclectic lover of good music. I got stuck in a genre that I didn't like and was annoyed with the process to move on. I found the experience too frustrating to deal with."
"March 19, 2015","i love this app because you get to download your own music and albums i jest love so much thank you."
"March 8, 2016","Can't live without my Pandora!"
"March 25, 2014","I love the variety of music Pandora Media offers. The rating would be 5 stars if the connectivity was not randomly interrupted. I have recommended Pandora Media to friends."
"June 7, 2016","Great app."
"March 12, 2016","What happened? Use to be good"
"March 30, 2016","lose the station at times"
"January 29, 2014","This works just the same as the desktop version but if I had to give it a negative mark, it would be that it seems to go to commercial a lot sooner than it does on the desktop version."
"March 25, 2015","Pandora awesome all ways good music to listen to."
"March 30, 2016","The variety is awesome!!!"
"March 25, 2017","All good"
"June 11, 2016","Great app"
"April 19, 2016","It's great all around"
"April 28, 2016","I love this station"
"June 11, 2016","Excellent"
"October 18, 2013","I love being able to pick a type of song and have so many great similar songs follow. There is no need to search for what you want to hear. Pandora does it for you. It's the best app I have downloaded."
"September 25, 2014","It doesn't do what it's sapposed to do. I think once I get help from a techy friend, it will be better - but I shouldn't need to get help."
"February 8, 2014","It tends to freeze quite a bit and shuts down right before it starts up...basically, a lot of glitches.  I can say that it works better than Slacker....a whole lot better!"
"March 29, 2016","Wonderful, and Excellent!"
"March 29, 2016","Great music. I really it."
"December 10, 2014","best music app ever. it's like music at my fingertips my sister and I love this app she's the one who told me about this app"
"June 6, 2016","very good."
"January 17, 2016","Plays what I like when I want to hear it."
"June 28, 2016","Great"
"January 5, 2014","Since adobe has decided to not allow linux based operating systems to stream audio guess this is the only option we have to listen to music but I've never been that impressed with pandora."
"April 17, 2013","Great Music all the time. I sleep, eat and dream Pandor, however, not in this exact order I enjoy the variety of music. I can travel all over the world and not leave my bed."
"April 6, 2016","Use it all the time. Great app"
"February 24, 2014","I just put Pandora on my Kindle and have just played music by Lori Line, one of my favorite musicians. I'm looking forward to having time to explore more fine artists on Pandora."
"January 27, 2014","I don't think I will have to look any further for some music. I have been using this for years on the PC and it is working great on this Kindle Fire HD. Very cool. Groovy. Far Out Man!"
"June 28, 2016","works"
"March 15, 2016","Great music selections. Best"
"January 9, 2015","Use it on my satellite tv most and only complaint is it will sometimes freeze up and play the same songs over and over"
"May 15, 2015","It won't let me use it on the go I love it but when I can't use when I need it, it's got to go"
"November 23, 2015","Amazing! Definitely my go to app for music streaming."
"April 6, 2015","I just started only 3 days ago. So far, its very nice. I use it on my kindle and the sound is great."
"July 2, 2016","Five"
"January 15, 2013","I am just starting to get to know this app. It looks like a great window into the world of music and is great to have on plane flights, long drives, etc."
"June 19, 2016","Love it"
"July 22, 2015","She is a wonderful friend, but way too limited on functions. A great techno toy."
"February 12, 2014","Pandora is much better than i thought it would be when compared to I Heart Radio. the music that they play is spot on to my intrest . I give them an A+.  John Asbell"
"June 18, 2016","Nothing"
"January 8, 2015","I liked last.fm service better, but they pulled the plug a while back. Not as much to offer but it still works great."
"October 21, 2013","Nothing better than to have a program that learns what you enjoy!  I often put it on during house parties...no need to even touch it again!!  Unless of course someone has a request!"
"June 5, 2016","Works well"
"December 24, 2013","I couldn't even listen to music. At first it was not available, then my session was over. Don't buy this app. it is trash"
"November 22, 2015","I love to listen especially when I can't fall asleep."
"May 9, 2014","Pandora has always been my favorite radio streaming app. I use it on my phone as well. The new features are pretty cool. Like how you can post favorites to Facebook."
"January 31, 2014","Being a true lover of music and all types of music, I love Pandora. It makes listening easy and enjoyable. I listen nonstop. Music on the go or at home. Keep these great ideas coming."
"March 16, 2014","I think it is so much fun to see what happens when I choose my favorite songs. But I wish I could skip every song I d like. Instead I have to switch stations t change music."
"January 28, 2016","user friendly app and always improving"
"May 22, 2016","Love pandora."
"May 18, 2015","I would give in 5 stars but I don't like the skip limit 😖😖😖😖. but over all I give it a 🙋"
"May 13, 2016","enjoy the music"
"October 7, 2015","I am looking forward to listening while brosing Kindle content."
"May 17, 2016","All good songs"
"November 3, 2015","Always listen at gym while I do a work out just great !!!"
"October 7, 2015","The frequency and length of commercials is becoming ridiculous."
"March 17, 2016","From Work Out to Mellow Out"
"August 31, 2015","adds are too big. make them a little bit smaller and I will listen more"
"March 8, 2016","Music I love and nothing else"
"November 7, 2012","I like Pandora. Change the station depending on my mood. Country , Old Country Classic, Singer and Songwriter, Sleep music. You name it. And they have a nice selection of Charley Pride. Some songs repeat more than I like, but over all very good. Susan"
"July 4, 2016","Yes"
"March 12, 2016","I enjoy listen to my Pandora"
"June 16, 2016","Love it"
"October 24, 2016","The concept is great. I do believe that Pandora knows that I am a Sirius user and play more commercials than my friends who do not subscribe to Sirius."
"May 7, 2015","Listened for three hours while relaxing and loved every song except one, and it was OK. Great!"
"January 27, 2016","I really enjoy the stations elections!"
"June 16, 2016","Love it"
"June 7, 2016","Thank you"
"June 25, 2016","GREAT"
"December 21, 2014","Pandora is the best music app in the world I recommend you get it so you can listen to your favorite stations and artists"
"June 21, 2013","I have the free version so I get to listen to the advertisements : ( also I don't have the greatest coverage provider (I'm poor lol) so it cuts in and out while I mow, seriously though I do like it and use it all the time"
"June 7, 2016","Love it!!"
"January 22, 2016","It so stupid he music won't play at all"
"April 23, 2016","Pandora is awesome!"
"January 16, 2014","You can listen to the style of music you prefer with any given mood! Create stations and educate pandora as to what belongs and what doesn't to creat your perfect radio stations! Love"
"October 23, 2015","I find Pandora to be most exellant especially late at night"
"September 24, 2014","PANDORA is the most wonderful radio station because it plays exactly what I want to listen to, when I want to. Yeah!!!!!! I feel spoiled!"
"December 3, 2015","Perfect. It does exactly what it's supposed to do."
"March 2, 2016","just got it but so far so good"
"June 28, 2016","Good"
"August 1, 2015","It uses data so it gets 2 stars. If it didnt use data, it would get 5 stars."
"March 28, 2016","Works great for a radio."
"September 5, 2013","You can't even pick the music that you want to listen to and some random song will just com on this app is just a wast of time ok listen people do not get this app trust me ok please do not get it.(WARNING);)"
"March 28, 2014","Create and customize your own radio station, or choose one their existing channels. Create several channels, to choose from depending on your mood or the company you have."
"March 15, 2016","Music stations are amazing."
"December 29, 2013","I can play songs according to my mood. For example, I have songs to fold clothes by, read a book by, paint a picture by. I can learn more about the artists I like with the biograhpy info."
"August 10, 2013","Even with the ads this is a gem. I can select my artist and it will bring up songs by that artist and others from the same genre. I can click on a dislike and never get that artist again. Plays while using other apps."
"May 14, 2016","Love Pandora!!"
"February 17, 2014","I typed in Josh Grobin and I can listen to the selection of music for hours. I haven't quite decided if I want to subscribe yet ( and pay the fee) but I might do that soon."
"February 17, 2014","I like that I can play this in my car via bluetooth. There are so many stations, its pretty awesome. However, there should not be ads, but at least they don't last extremely long."
"April 3, 2013","I would recommend to anyone who loves music and already has a Pandora acct with the loaded channels of your music choice. I'm a huge metal head and I love when I can find apps and stuff that have a selection of preferred music taste."
"June 9, 2016","Love It!"
"April 21, 2016","I love using Pandora! I recently got a subscription and enjoy it even more now that I have it commercial free. I usually listen from my television and after listening for a while it just shuts down- not sure if that is an issue with Pandora or my Internet carrier. Still it's a great value and I listen almost every day."
"December 6, 2015","It doesn't even give me the song I am looking for"
"July 22, 2014","I love Pandora. I listen to it at work, home, and even while I am camping if they happen to have WiFi! It's your own music pics; what's not to love!"
"April 4, 2015","Hear some good music choices, you start the music genra, then they help you find music in your genra."
"September 27, 2014","Great music and simple control personalized stations are very helpful in hearing your favorite music. I will always use Pandora radio :-)"
"March 4, 2014","I used to have Pandora. it was great until I got the upgrade. Now it won't let me sign in with mine or my dads. just a waste of space!"
"December 31, 2012","I love music, MY music...Pandora gives me the option to personalize my own listening choices! So whether I need energetic beats to clean the house, holiday tunes to set the mood, or calming music in the hectic workplace...Pandora is my top choice!"
"November 13, 2012","Not bad for a radio app. Plays music I haven't heard in years. it's not Spotify but since I can't get it on my tablet Pandora will do. The one thing I dislike is I can only skip 6 time in any given hour so I just change thru my song list to switch songs."
"October 17, 2015","This app is great when I want not-awful music to listen to, when I want to have control over the sort of thing I want to listen to but have no idea what it is exactly what I want.  But it is terrible on the newest fire tv. It takes at least five minutes to load a song, something I thought was a fluke when I first installed it on the Fire tv but seems to be literally every time. Still works fine on my kindle and laptop and phone and that's why its still got three wtaes, but goodness it's awful on the Fire tv (which I give a resounding no-star review for). I hope that's fixed soon."
"January 29, 2014","PANDORA is one of the most exciting music stations I have ever had the pleasure of using! Crystal clear music from the genre I love. Highly recommend it to everyone that loves music!"
"January 23, 2016","Its Pandora- what else is there to say"
"March 8, 2016","Not able to connect oversea!"
"December 26, 2014","This lets me discover music and I can listen to music that fits me best . This app is amazing. I give it a thumbs up:-)"
"December 6, 2014","Good if you want basic streaming, but the ""Daily Skip Limit"" feature feels dated when compared to similar services."
"April 26, 2014","I love pandora it;s like my home stereo. I finally have music in my home. I have several different genres of music stations so I can choose the music to fit my mood."
"October 1, 2015","A great music application that works well on my Kindle Fire HD7"
"July 20, 2014","Pandora is a great app for listening to your favorite artists and records. I could listen for hours, but I have work to do around the house and yard."
"July 8, 2016","It's wonderful"
"December 30, 2013","Never opens. When ever I try to open it out just stays on the opening page. Waste of time. Any suggestions to fix it?"
"August 16, 2015","The best station ever,and that means along with the paireotic commercials"
"June 7, 2016","Love it!"
"November 2, 2015","Love it has everything I need Keep up the good work"
"January 5, 2014","There is nothing negative to be said about Pandora. App just sits right there waiting for you. It was a pre- installed app on my Smart TV and is now a downloaded on android and laptop."
"October 11, 2013","I love the way this app works. Not only can I bookmarks. my favorite bands. I get related groups with similar styles of music included. If I choose a southern rock band 3to 4 more similar ate included."
"March 2, 2016","Now even more ads and longer."
"August 10, 2016","i love it"
"December 3, 2015","i feel that amazon pandora music is really great"
"March 29, 2016","too hard to sign on"
"March 29, 2016","Great music and variety"
"November 26, 2013","It is wonderful that it syncs from my desktop. My only issue is the kindle doesn't have the best of speakers, but hey what the heck. I get MY music when I want it and can add new ones anytime"
"July 23, 2015","Onlybeenusingpandoraforashorttime,butitseemslikeagreatpleasureformyears.thanks"
"February 4, 2016","Worked well, even with commercials."
"May 30, 2015","I like Pandora as it allows to customize my own radio station.There are very commercials."
"March 2, 2016","Love the music and selections"
"February 4, 2016","AWESOME😅😅😅😅😅😅😅💗💗💗💗💗💗💗"
"September 2, 2015","Love being able to listen to only music I like. Enjoying it so much."
"May 26, 2014","I like very much , I joined navy 1975 my first ship was uss enterprise cvn 65 , man if I could listen to Pandora I would not care how long we stay at sea LOL"
"June 18, 2015","Listen everyday, great. Commercials are tolerble. Enjoy putting my own music together"
"April 27, 2016","I use it everyday"
"May 28, 2016","Great app!"
"December 26, 2012","I have enjoyed Pandora in the past, but now listening to Rhapsody more often. I like both. Between Pandora, Rhapsody and my iPod, and the radio I have more than enough for my music needs. I love the concept of creating a personal radio station."
"March 2, 2015","Choices like ""The Beatles Station"" should be ALL Beatles, not a mix of artists. Otherwise it's okay"
"February 6, 2014","I love Pandora. I love I can select any artist and it links up similar artist. When I am working from home I listen to Pandora a good part of the day when not on conference calls."
"January 3, 2015","I really like Pandora but, there is way to many adds, and I like that if u close out of the app the music still plays"
"February 12, 2016","Fix it and I'll change my review."
"September 7, 2015","Love pandora!"
"March 26, 2015","ok its the best just get it ya get it don't whait hit the download button its waiteing for u to hit it"
"March 10, 2016","Cant live without Pandora !"
